"","city","state","city_size","mode","n","percent","moe","state_abb","state_region"
"1839","Bell Gardens city","California","Small","Walk",554,3.4,1,"CA","West"
"1840","Bella Vista town","Arkansas","Small","Walk",181,1.7,1.6,"AR","South"
"1841","Belleville city","Illinois","Small","Walk",416,1.9,0.9,"IL","North Central"
"1842","Bellevue city","Nebraska","Small","Walk",226,0.9,0.3,"NE","North Central"
"1843","Bellflower city","California","Small","Walk",620,1.9,0.7,"CA","West"
"1844","Bellingham city","Washington","Small","Walk",3243,8.2,1.4,"WA","West"
"1845","Belmont city","California","Small","Walk",259,2,0.8,"CA","West"
"1846","Beloit city","Wisconsin","Small","Walk",679,4.5,1.1,"WI","North Central"
"1847","Belton city","Missouri","Small","Walk",39,0.4,0.3,"MO","North Central"
"1848","Belvidere city","Illinois","Small","Walk",242,2.3,1.4,"IL","North Central"
"1849","Benbrook city","Texas","Small","Walk",23,0.2,0.2,"TX","South"
"1850","Bend city","Oregon","Small","Walk",1090,3,1.1,"OR","West"
"1851","Benicia city","California","Small","Walk",261,2,1,"CA","West"
"1852","Benton city","Arkansas","Small","Walk",165,1.2,0.6,"AR","South"
"1853","Bentonville city","Arkansas","Small","Walk",398,2.3,1.1,"AR","South"
"1854","Bergenfield borough","New Jersey","Small","Walk",288,2.1,1.2,"NJ","Northeast"
"1855","Berwyn city","Illinois","Small","Walk",1157,4.7,1.3,"IL","North Central"
"1856","Bessemer city","Alabama","Small","Walk",69,0.7,0.6,"AL","South"
"1857","Bethel Park municipality","Pennsylvania","Small","Walk",156,1,0.4,"PA","Northeast"
"1858","Bethlehem city","Pennsylvania","Small","Walk",1631,5,1,"PA","Northeast"
"1859","Bettendorf city","Iowa","Small","Walk",141,0.9,0.5,"IA","North Central"
"1860","Beverly city","Massachusetts","Small","Walk",1336,6.4,1.2,"MA","Northeast"
"1861","Beverly Hills city","California","Small","Walk",889,5.4,1.2,"CA","West"
"1862","Biddeford city","Maine","Small","Walk",661,6,2.4,"ME","Northeast"
"1863","Big Spring city","Texas","Small","Walk",231,2.6,1.3,"TX","South"
"1864","Biloxi city","Mississippi","Small","Walk",2131,9.3,1.5,"MS","South"
"1865","Binghamton city","New York","Small","Walk",899,4.8,1.1,"NY","Northeast"
"1866","Birmingham city","Michigan","Small","Walk",185,1.9,0.9,"MI","North Central"
"1867","Bismarck city","North Dakota","Small","Walk",840,2.5,0.6,"ND","North Central"
"1868","Bixby city","Oklahoma","Small","Walk",19,0.2,0.2,"OK","South"
"1869","Blacksburg town","Virginia","Small","Walk",1836,10.6,1.9,"VA","South"
"1870","Blaine city","Minnesota","Small","Walk",232,0.8,0.3,"MN","North Central"
"1871","Bloomingdale village","Illinois","Small","Walk",99,0.9,0.8,"IL","North Central"
"1872","Bloomington city","Illinois","Small","Walk",1201,3.1,0.8,"IL","North Central"
"1873","Bloomington city","Indiana","Small","Walk",5067,14.4,1.5,"IN","North Central"
"1874","Bloomington city","Minnesota","Small","Walk",757,1.8,0.5,"MN","North Central"
"1875","Blue Island city","Illinois","Small","Walk",263,2.7,1.2,"IL","North Central"
"1876","Blue Springs city","Missouri","Small","Walk",187,0.7,0.4,"MO","North Central"
"1877","Blythe city","California","Small","Walk",147,2.7,1.3,"CA","West"
"1878","Boca Raton city","Florida","Small","Walk",936,2.4,0.6,"FL","South"
"1879","Bolingbrook village","Illinois","Small","Walk",347,1,0.3,"IL","North Central"
"1880","Bonita Springs city","Florida","Small","Walk",189,1.2,0.7,"FL","South"
"1881","Bossier City city","Louisiana","Small","Walk",815,2.7,0.7,"LA","South"
"1882","Bothell city","Washington","Small","Walk",237,1.4,0.6,"WA","West"
"1883","Bountiful city","Utah","Small","Walk",266,1.4,0.6,"UT","West"
"1884","Bowie city","Maryland","Small","Walk",466,1.6,0.6,"MD","South"
"1885","Bowling Green city","Kentucky","Small","Walk",1338,5,1,"KY","South"
"1886","Bowling Green city","Ohio","Small","Walk",2351,15.8,2.4,"OH","North Central"
"1887","Boynton Beach city","Florida","Small","Walk",246,0.8,0.4,"FL","South"
"1888","Bozeman city","Montana","Small","Walk",2071,10.1,1.7,"MT","West"
"1889","Bradenton city","Florida","Small","Walk",264,1.3,0.5,"FL","South"
"1890","Braintree Town city","Massachusetts","Small","Walk",154,0.9,0.4,"MA","Northeast"
"1891","Brandon city","Mississippi","Small","Walk",38,0.4,0.4,"MS","South"
"1892","Brawley city","California","Small","Walk",315,3.7,1.7,"CA","West"
"1893","Brea city","California","Small","Walk",299,1.5,0.7,"CA","West"
"1894","Bremerton city","Washington","Small","Walk",2004,11.1,3,"WA","West"
"1895","Brentwood city","California","Small","Walk",180,0.8,0.5,"CA","West"
"1896","Brentwood city","Tennessee","Small","Walk",161,1,0.6,"TN","South"
"1897","Bridgeton city","New Jersey","Small","Walk",194,2.5,1.3,"NJ","Northeast"
"1898","Brighton city","Colorado","Small","Walk",313,2.1,0.9,"CO","West"
"1899","Bristol city","Connecticut","Small","Walk",367,1.2,0.5,"CT","Northeast"
"1900","Bristol city","Tennessee","Small","Walk",191,1.7,1.1,"TN","South"
"1901","Brockton city","Massachusetts","Small","Walk",1133,2.7,0.6,"MA","Northeast"
"1902","Brookfield city","Wisconsin","Small","Walk",145,0.8,0.5,"WI","North Central"
"1903","Brookings city","South Dakota","Small","Walk",1096,8.9,2,"SD","North Central"
"1904","Brooklyn Center city","Minnesota","Small","Walk",384,2.7,1.1,"MN","North Central"
"1905","Brooklyn Park city","Minnesota","Small","Walk",259,0.7,0.3,"MN","North Central"
"1906","Broomfield city","Colorado","Small","Walk",355,1.2,0.6,"CO","West"
"1907","Brownsburg town","Indiana","Small","Walk",11,0.1,0.2,"IN","North Central"
"1908","Brunswick city","Ohio","Small","Walk",261,1.5,1.1,"OH","North Central"
"1909","Bryan city","Texas","Small","Walk",924,2.6,0.8,"TX","South"
"1910","Buckeye town","Arizona","Small","Walk",211,1.1,0.5,"AZ","West"
"1911","Buena Park city","California","Small","Walk",1057,2.9,0.6,"CA","West"
"1912","Buffalo Grove village","Illinois","Small","Walk",119,0.5,0.2,"IL","North Central"
"1913","Bullhead City city","Arizona","Small","Walk",177,1.3,0.7,"AZ","West"
"1914","Burbank city","Illinois","Small","Walk",175,1.4,0.7,"IL","North Central"
"1915","Burien city","Washington","Small","Walk",355,1.8,0.6,"WA","West"
"1916","Burleson city","Texas","Small","Walk",156,0.9,0.6,"TX","South"
"1917","Burlingame city","California","Small","Walk",532,3.7,1.4,"CA","West"
"1918","Burlington city","Iowa","Small","Walk",240,2.1,0.9,"IA","North Central"
"1919","Burlington city","North Carolina","Small","Walk",250,1.1,0.6,"NC","South"
"1920","Burlington city","Vermont","Small","Walk",4490,20.3,1.9,"VT","Northeast"
"1921","Burnsville city","Minnesota","Small","Walk",426,1.3,0.5,"MN","North Central"
"1922","Burton city","Michigan","Small","Walk",59,0.5,0.3,"MI","North Central"
